"BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI","elev","lab","split","yr","lon","lat"
0.0206939,0.0368055,0.3473046,0.2418323,0.0256491,0.1171545,0.0534232,-0.0492861,1293,1,1,2005,-116.5748685,49.2300581
0.0147294,0.0323917,0.380523,0.1927079,0.0195009,0.0864731,0.0351132,0.0149336,1384,1,0,2005,-116.5770245,49.2330225
0.016732,0.0348449,0.3347596,0.2411759,0.0269023,0.1202014,0.051616,-0.0057529,1552,1,0,2005,-116.5797194,49.235987
0.019638,0.034304,0.2824168,0.1948645,0.0262367,0.1090375,0.04795,-0.0092588,1374,1,1,2005,-116.5786414,49.2324836
0.017084,0.033439,0.3266584,0.1910595,0.0229612,0.0969717,0.034864,-0.0542391,1241,1,0,2005,-116.575677,49.2292496
0.0186823,0.0329478,0.3862287,0.1959209,0.0219423,0.0867466,0.0374469,0.0238171,1426,1,1,2005,-116.5700176,49.2303276
0.0273805,0.0392672,0.3870887,0.191762,0.0281113,0.0847337,0.0376698,0.0110427,1283,1,0,2005,-116.5743295,49.2284411
0.0156652,0.0317017,0.303698,0.157477,0.0215461,0.0841081,0.0390822,-0.0912898,1359,1,1,2005,-116.576216,49.2322141
0.0186757,0.0297476,0.3212359,0.1883235,0.0221224,0.0967482,0.0517883,-0.0446145,1254,1,0,2005,-116.5781024,49.2305971
0.0192101,0.0370461,0.275019,0.2007409,0.0264894,0.1141421,0.0582968,-0.0205918,1212,1,0,2005,-116.5770245,49.2295191
0.0206849,0.0348114,0.3275594,0.237207,0.0226197,0.120151,0.0530373,-0.0581236,1370,1,1,2005,-116.57406,49.2319446
